RefferencePoint,AP1,AP2,AP3
pos[1.1],-32.96226415,-55.36792453,-41.33962264
pos[1.2],-26,-62.68571429,-33.07619048
pos[1.3],-28.03333333,-34.125,-29.98333333
pos[1.4],-40.44520548,-55.11643836,-16.98630137
pos[2.1],-36.48888889,-48.07407407,-40.57777778
pos[2.2],-32.17241379,-65.31034483,-31.68965517
pos[2.3],-28.9483871,-47.9483871,-29.22580645
pos[3.1],-40.29166667,-42.71428571,-34.79761905
pos[3.2],-28.14545455,-57.22727273,-30.49090909
pos[3.3],-33.5,-53.34313725,-29.67647059
pos[3.4],-41.82323232,-43.11111111,-27.86868687
pos[4.1],-45.96732026,-27.82352941,-40.98039216
pos[4.2],-49.92340424,-38.25106382,-46.64255318
pos[4.3],-37.66492147,-32.89528796,-43.65445026
pos[4.4],-43.15238095,-31.7047619,-26.79047619
